,Health,Mines Owned,Pub Dist,Mine Dist,Enemy Dist,action,prob
159,high,2.0,0.0,2.0,3.0,goPub,0.5000015216141989
160,high,2.0,1.0,1.0,1.0,goMine,0.7500040576161678
161,high,2.0,0.0,2.0,2.0,Attack,0.5000162299439995
162,medium,2.0,1.0,1.0,2.0,goMine,0.7500432773825794
163,medium,2.0,1.0,1.0,1.0,Attack,0.5006912567932119
164,high,2.0,1.0,0.0,1.0,goMine,0.7572640014167915
165,high,2.0,0.0,1.0,0.0,goMine,0.76889995094977
166,medium,3.0,3.0,1.0,0.0,goMine,0.7974347777899582
167,medium,3.0,2.0,0.0,2.0,goPub,0.5022291728321753
168,high,3.0,2.0,0.0,2.0,goMine,0.7558980782285284
169,high,3.0,1.0,1.0,3.0,goMine,0.7654115248508472
170,high,3.0,0.0,2.0,3.0,goMine,0.7890628748692912
171,medium,4.0,6.0,2.0,3.0,goPub,0.6261604504390882
172,medium,4.0,7.0,1.0,1.0,goMine,0.7500031927845364
173,medium,4.0,6.0,2.0,3.0,goMine,0.7500085139928708
174,medium,4.0,5.0,2.0,4.0,Attack,0.5000340535903811
175,medium,4.0,6.0,2.0,3.0,Attack,0.5001361762851777
176,medium,4.0,7.0,1.0,2.0,goMine,0.7503629564295579
177,medium,4.0,7.0,1.0,1.0,goPub,0.504593683627588
178,medium,4.0,6.0,0.0,2.0,Attack,0.5177293036409112
179,medium,4.0,7.0,1.0,1.0,Attack,0.5628146449983942
180,medium,6.0,6.0,0.0,6.0,Attack,0.6826999999952955
181,high,6.0,6.0,0.0,2.0,Attack,0.4799999999803983
182,high,5.0,3.0,0.0,2.0,Attack,0.39761621828753535
183,high,5.0,3.0,0.0,1.0,Attack,0.49999983037046847
184,high,5.0,6.0,0.0,0.0,Attack,0.49999996008718084
185,high,5.0,3.0,0.0,1.0,goMine,0.7435725988722076
186,high,5.0,3.0,0.0,2.0,goMine,0.732332444256504
187,high,5.0,3.0,0.0,3.0,goPub,0.4995262441700988
188,high,4.0,3.0,0.0,2.0,goMine,0.6930696911636413
189,high,4.0,3.0,0.0,3.0,Attack,0.4999999785820688
190,high,4.0,3.0,0.0,2.0,Attack,0.4993802367684741
191,high,4.0,3.0,0.0,1.0,goMine,0.7499613210637956
192,high,4.0,3.0,0.0,2.0,goPub,0.49998549609687815
193,high,4.0,3.0,0.0,3.0,goPub,0.49999637410770054
194,high,4.0,3.0,0.0,4.0,goMine,0.7499997733415051
195,high,4.0,3.0,0.0,4.0,Attack,0.4999999143286401
